Reaction_No,substrate_pair,Ligand_Short_Hand,Catalyst_1_Short_Hand,Reagent_1_Short_Hand,Solvent_1_Short_Hand,Product_Yield_PCT_Area_UV,row_index,model,label,y_true,y_pred,y_std,lower_95,upper_95,incumbent_yield,expected_improvement,recommendation_number,best_yield_found,best_available_test_yield,simple_regret
4558,1a_2c,XPhos,Pd(OAc)2,LiOtBu,MeOH,59.08,3039,M0_vbur_vmin,%Vbur(min) + Vmin,59.08,36.328958297901735,13.438483319054761,9.989530992554403,62.668385603249064,49.99,1.0096119910628345,8,59.08,59.08,0.0
4563,1a_2c,P(Ph)3,Pd(OAc)2,NaHCO3,MeOH,21.3,3041,M0_vbur_vmin,%Vbur(min) + Vmin,21.3,30.59427748300195,15.598816283696946,0.020597566955935065,61.167957399047964,49.99,0.7480448497458245,9,59.08,59.08,0.0
4598,1a_2c,P(tBu)3,Pd(OAc)2,K3PO4,MeOH,19.82,3064,M0_vbur_vmin,%Vbur(min) + Vmin,19.82,27.388521560540806,16.119534315301532,-4.205765697450197,58.98280881853181,49.99,0.5492434199008547,10,59.08,59.08,0.0
4567,1a_2c,CataCXium A,Pd(OAc)2,NaHCO3,MeOH,7.73,3045,M0_vbur_vmin,%Vbur(min) + Vmin,7.73,30.989565925127902,13.693108402376243,4.151073456470467,57.82805839378534,49.99,0.4760335163965512,11,59.08,59.08,0.0
4594,1a_2c,XPhos,Pd(OAc)2,CsF,MeOH,29.03,3063,M0_vbur_vmin,%Vbur(min) + Vmin,29.03,28.882557453176698,14.635099971849797,0.19776150835109618,57.5673533980023,49.99,0.45250375366060536,12,59.08,59.08,0.0
4555,1a_2c,CataCXium A,Pd(OAc)2,LiOtBu,MeOH,26.24,3037,M0_vbur_vmin,%Vbur(min) + Vmin,26.24,30.907124853845037,13.309549344310971,4.820408138995532,56.99384156869454,49.99,0.4162619133683203,13,59.08,59.08,0.0
4491,1a_2c,P(Ph)3,Pd(OAc)2,CsF,DMF,24.48,2993,M0_vbur_vmin,%Vbur(min) + Vmin,24.48,23.640036784389302,16.480642086083737,-8.662021704334819,55.942095273113424,49.99,0.35745394715035617,14,59.08,59.08,0.0
4538,1a_2c,P(tBu)3,Pd(OAc)2,KOH,MeOH,22.1,3024,M0_vbur_vmin,%Vbur(min) + Vmin,22.1,24.16561930111174,15.7330730650017,-6.671203906291591,55.002442508515074,49.99,0.30706281992591866,15,59.08,59.08,0.0
4287,1a_2c,P(Ph)3,Pd(OAc)2,Et3N,MeCN,14.61,2857,M0_vbur_vmin,%Vbur(min) + Vmin,14.61,21.161904694251128,16.798752621091698,-11.7636504430886,54.087459831590856,49.99,0.2745050788854755,16,59.08,59.08,0.0
4575,1a_2c,P(Ph)3,Pd(OAc)2,Et3N,MeOH,38.79,3049,M0_vbur_vmin,%Vbur(min) + Vmin,38.79,23.88901451057511,15.468467526611397,-6.42918184158323,54.20721086273345,49.99,0.26958878117048624,17,59.08,59.08,0.0
4385,1a_2c,P(Cy)3,Pd(OAc)2,Et3N,THF,16.8,2923,M0_vbur_vmin,%Vbur(min) + Vmin,16.8,23.802410167262774,15.162939905642583,-5.916952047796688,53.52177238232224,49.99,0.2392011830134686,18,59.08,59.08,0.0
4347,1a_2c,P(Ph)3,Pd(OAc)2,KOH,THF,20.73,2897,M0_vbur_vmin,%Vbur(min) + Vmin,20.73,22.101877172319217,15.944060286782236,-9.148480989773965,53.3522353344124,49.99,0.23903434863811857,19,59.08,59.08,0.0
4384,1a_2c,AmPhos,Pd(OAc)2,Et3N,THF,15.47,2922,M0_vbur_vmin,%Vbur(min) + Vmin,15.47,24.36502919539381,14.759767589866911,-4.564115280745334,53.29417367153295,49.99,0.22714091240742262,20,59.08,59.08,0.0
390,1b_2a,CataCXium A,Pd(OAc)2,NaOH,MeCN,96.38,261,M0_vbur_vmin,%Vbur(min) + Vmin,96.38,99.97944924546394,12.790415042001637,74.91023576314073,125.04866272778715,96.89,6.50157700969139,1,96.38,97.83,1.4500000000000028
387,1b_2a,AmPhos,Pd(OAc)2,NaOH,MeCN,86.82,258,M0_vbur_vmin,%Vbur(min) + Vmin,86.82,97.64579753882289,14.45929129598031,69.30558659870148,125.9860084789443,96.89,5.897224051778603,2,96.38,97.83,1.4500000000000028
722,1b_2a,P(Ph)3,Pd(OAc)2,KOH,MeOH,92.61,481,M0_vbur_vmin,%Vbur(min) + Vmin,92.61,91.77354892058653,16.156047936695824,60.10769496466272,123.43940287651034,96.89,4.022695071746251,3,96.38,97.83,1.4500000000000028
679,1b_2a,SPhos,Pd(OAc)2,NaOH,MeOH,92.88,454,M0_vbur_vmin,%Vbur(min) + Vmin,92.88,91.49973085976448,14.174111560271418,63.71847220163251,119.28098951789646,96.89,3.1908743846066336,4,96.38,97.83,1.4500000000000028
555,1b_2a,AmPhos,Pd(OAc)2,Et3N,THF,91.88,370,M0_vbur_vmin,%Vbur(min) + Vmin,91.88,89.95081153534181,15.3138800805273,59.93560657750831,119.96601649317532,96.89,3.096763623163202,5,96.38,97.83,1.4500000000000028
483,1b_2a,AmPhos,Pd(OAc)2,NaOH,THF,86.25,322,M0_vbur_vmin,%Vbur(min) + Vmin,86.25,91.53566150026604,13.6261021348514,64.8285013159573,118.24282168457479,96.89,3.0030044205418998,6,96.38,97.83,1.4500000000000028
746,1b_2a,P(Ph)3,Pd(OAc)2,Et3N,MeOH,82.99,497,M0_vbur_vmin,%Vbur(min) + Vmin,82.99,89.72792471388513,15.231815362664152,59.873566603063395,119.58228282470687,96.89,2.998580823042655,7,96.38,97.83,1.4500000000000028
690,1b_2a,CataCXium A,Pd(OAc)2,NaHCO3,MeOH,86.98,461,M0_vbur_vmin,%Vbur(min) + Vmin,86.98,91.18273363612488,13.549601730084834,64.6255142451586,117.73995302709116,96.89,2.8593835951018707,8,96.38,97.83,1.4500000000000028
726,1b_2a,CataCXium A,Pd(OAc)2,KOH,MeOH,85.46,485,M0_vbur_vmin,%Vbur(min) + Vmin,85.46,90.56790332459465,13.278285240915123,64.542464252401,116.5933423967883,96.89,2.570393637683476,9,96.38,97.83,1.4500000000000028
542,1b_2a,P(Ph)3,Pd(OAc)2,LiOtBu,THF,87.78,361,M0_vbur_vmin,%Vbur(min) + Vmin,87.78,86.1877236810486,16.595186920865626,53.66115731615197,118.71429004594522,96.89,2.472993317221968,10,96.38,97.83,1.4500000000000028
723,1b_2a,AmPhos,Pd(OAc)2,KOH,MeOH,71.62,482,M0_vbur_vmin,%Vbur(min) + Vmin,71.62,88.03904297890189,14.692877366830006,59.24100333991508,116.8370826178887,96.89,2.3347237100999583,11,96.38,97.83,1.4500000000000028
486,1b_2a,CataCXium A,Pd(OAc)2,NaOH,THF,96.57,325,M0_vbur_vmin,%Vbur(min) + Vmin,96.57,87.98639809951408,14.13323679454512,60.285253982205646,115.68754221682251,96.89,2.1404988921000907,12,96.57,97.83,1.2600000000000051
691,1b_2a,SPhos,Pd(OAc)2,NaHCO3,MeOH,85.69,462,M0_vbur_vmin,%Vbur(min) + Vmin,85.69,88.44113987666978,13.094651990506781,62.77562197527649,114.10665777806307,96.89,1.9241233800971553,13,96.57,97.83,1.2600000000000051
482,1b_2a,P(Ph)3,Pd(OAc)2,NaOH,THF,90.21,321,M0_vbur_vmin,%Vbur(min) + Vmin,90.21,83.54262722918483,16.688174147279,50.833805900517994,116.25144855785166,96.89,1.9029078285336318,14,96.57,97.83,1.2600000000000051
553,1b_2a,P(tBu)3,Pd(OAc)2,Et3N,THF,94.67,368,M0_vbur_vmin,%Vbur(min) + Vmin,94.67,82.82912990383724,15.639890331611687,52.17494485387834,113.48331495379614,96.89,1.4834506245636612,15,96.57,97.83,1.2600000000000051
558,1b_2a,CataCXium A,Pd(OAc)2,Et3N,THF,97.83,373,M0_vbur_vmin,%Vbur(min) + Vmin,97.83,84.18951011341191,14.514210187615918,55.74165814568471,112.63736208113912,96.89,1.4325067347741998,16,97.83,97.83,0.0
457,1b_2a,P(tBu)3,Pd(OAc)2,Et3N,MeCN,91.95,304,M0_vbur_vmin,%Vbur(min) + Vmin,91.95,81.7024278001241,15.552954352580292,51.218637269066726,112.18621833118146,96.89,1.27458444497032,17,97.83,97.83,0.0
736,1b_2a,P(Cy)3,Pd(OAc)2,LiOtBu,MeOH,89.34,491,M0_vbur_vmin,%Vbur(min) + Vmin,89.34,83.84316435405472,13.343664870961359,57.68958120697046,109.99674750113898,96.89,1.0798719735401292,18,97.83,97.83,0.0
759,1b_2a,AmPhos,Pd(OAc)2,None,MeOH,61.57,506,M0_vbur_vmin,%Vbur(min) + Vmin,61.57,78.1447344882507,15.062081125694146,48.62305548189018,107.66641349461123,96.89,0.7188629006900451,19,97.83,97.83,0.0
747,1b_2a,AmPhos,Pd(OAc)2,Et3N,MeOH,73.01,498,M0_vbur_vmin,%Vbur(min) + Vmin,73.01,76.99189249605988,15.60324314050611,46.4095359406679,107.57424905145186,96.89,0.6994301231654418,20,97.83,97.83,0.0
2391,1b_2b,AmPhos,Pd(OAc)2,None,MeCN,83.89,1594,M0_vbur_vmin,%Vbur(min) + Vmin,83.89,89.63947522351663,13.486604945362616,63.2057295306059,116.07322091642735,96.75,2.409742097957483,1,83.89,96.19,12.299999999999997
2365,1b_2b,P(tBu)3,Pd(OAc)2,LiOtBu,MeCN,92.06,1576,M0_vbur_vmin,%Vbur(min) + Vmin,92.06,83.85510072775645,15.485298992740073,53.503914701985906,114.206286753527,96.75,1.6574919171785707,2,92.06,96.19,4.1299999999999955
2366,1b_2b,P(Ph)3,Pd(OAc)2,LiOtBu,MeCN,73.07,1577,M0_vbur_vmin,%Vbur(min) + Vmin,73.07,80.1964693343605,15.636777718267105,49.54838500655698,110.84455366216403,96.75,1.0930716301489016,3,92.06,96.19,4.1299999999999955
2355,1b_2b,AmPhos,Pd(OAc)2,KOH,MeCN,81.7,1570,M0_vbur_vmin,%Vbur(min) + Vmin,81.7,81.24424582630807,14.723260116862168,52.38665599725823,110.10183565535792,96.75,1.0363245133364352,4,92.06,96.19,4.1299999999999955
2466,1b_2b,CataCXium A,Pd(OAc)2,LiOtBu,THF,96.19,1645,M0_vbur_vmin,%Vbur(min) + Vmin,96.19,83.99970316955105,12.75120380569876,59.00734371038149,108.99206262872062,96.75,0.985521424386951,5,96.19,96.19,0.0
2318,1b_2b,P(Ph)3,Pd(OAc)2,NaHCO3,MeCN,68.23,1545,M0_vbur_vmin,%Vbur(min) + Vmin,68.23,77.4370483058759,16.778458606619388,44.551269436901904,110.3228271748499,96.75,0.9788744598269177,6,96.19,96.19,0.0
2358,1b_2b,CataCXium A,Pd(OAc)2,KOH,MeCN,78.09,1573,M0_vbur_vmin,%Vbur(min) + Vmin,78.09,79.2490531746036,13.260004952688593,53.25944346733396,105.23866288187324,96.75,0.5335162667267352,7,96.19,96.19,0.0
2479,1b_2b,SPhos,Pd(OAc)2,Et3N,THF,87.02,1654,M0_vbur_vmin,%Vbur(min) + Vmin,87.02,79.35099844014033,13.050173707003307,53.772657974413846,104.92933890586681,96.75,0.5093070335308827,8,96.19,96.19,0.0
2594,1b_2b,P(Ph)3,Pd(OAc)2,NaOH,MeOH,79.1,1729,M0_vbur_vmin,%Vbur(min) + Vmin,79.1,74.465544515755,15.590085207171619,43.90897750969863,105.02211152181137,96.75,0.4985524889143085,9,96.19,96.19,0.0
2606,1b_2b,P(Ph)3,Pd(OAc)2,NaHCO3,MeOH,68.46,1737,M0_vbur_vmin,%Vbur(min) + Vmin,68.46,70.98739228832929,16.90411681253205,37.85532333576647,104.11946124089211,96.75,0.4379133920103624,10,96.19,96.19,0.0
2666,1b_2b,P(Ph)3,Pd(OAc)2,Et3N,MeOH,53.9,1777,M0_vbur_vmin,%Vbur(min) + Vmin,53.9,72.32888881294313,15.820287170507788,41.32112595874787,103.3366516671384,96.75,0.3896842452114597,11,96.19,96.19,0.0
2439,1b_2b,AmPhos,Pd(OAc)2,K3PO4,THF,69.6,1626,M0_vbur_vmin,%Vbur(min) + Vmin,69.6,73.54590884393146,14.620240485767942,44.89023749182629,102.20158019603662,96.75,0.32308627306841786,12,96.19,96.19,0.0
2437,1b_2b,P(tBu)3,Pd(OAc)2,K3PO4,THF,63.86,1624,M0_vbur_vmin,%Vbur(min) + Vmin,63.86,70.91928601958577,15.073321397183118,41.37557608110686,100.46299595806468,96.75,0.2457060502449706,13,96.19,96.19,0.0
2469,1b_2b,XPhos,Pd(OAc)2,LiOtBu,THF,62.77,1647,M0_vbur_vmin,%Vbur(min) + Vmin,62.77,75.13456722459307,12.976707591045395,49.70022034614409,100.56891410304205,96.75,0.23487382804576395,14,96.19,96.19,0.0
2490,1b_2b,CataCXium A,Pd(OAc)2,None,THF,93.15,1661,M0_vbur_vmin,%Vbur(min) + Vmin,93.15,74.15136539956451,13.400252400564543,47.88687069445801,100.41586010467101,96.75,0.23123061106049736,15,96.19,96.19,0.0
2330,1b_2b,P(Ph)3,Pd(OAc)2,CsF,MeCN,53.51,1553,M0_vbur_vmin,%Vbur(min) + Vmin,53.51,67.73821983697876,15.68321544114843,36.99911757232783,98.47732210162968,96.75,0.18176365879758338,16,96.19,96.19,0.0
2409,1b_2b,XPhos,Pd(OAc)2,NaOH,THF,79.27,1607,M0_vbur_vmin,%Vbur(min) + Vmin,79.27,71.33733618313393,13.634516306364405,44.61368422265969,98.06098814360817,96.75,0.15051745668474148,17,96.19,96.19,0.0
2359,1b_2b,SPhos,Pd(OAc)2,KOH,MeCN,89.93,1574,M0_vbur_vmin,%Vbur(min) + Vmin,89.93,73.56648957236085,12.51922102713247,49.02881635918121,98.1041627855405,96.75,0.1413778966260193,18,96.19,96.19,0.0
2331,1b_2b,AmPhos,Pd(OAc)2,CsF,MeCN,68.33,1554,M0_vbur_vmin,%Vbur(min) + Vmin,68.33,65.27836189175628,15.046411633483585,35.787395090128456,94.7693286933841,96.75,0.09084160698288879,19,96.19,96.19,0.0
2597,1b_2b,P(o-Tol)3,Pd(OAc)2,NaOH,MeOH,64.08,1732,M0_vbur_vmin,%Vbur(min) + Vmin,64.08,59.38229816864235,16.703553605760554,26.643333101351665,92.12126323593304,96.75,0.06732832516973702,20,96.19,96.19,0.0
4215,1b_2c,P(Ph)3,Pd(OAc)2,K3PO4,MeOH,72.19,2809,M0_vbur_vmin,%Vbur(min) + Vmin,72.19,66.62597785166744,16.109211064074653,35.05192416608112,98.20003153725376,74.84,2.9876103918585835,1,72.19,73.12,0.9300000000000068
4218,1b_2c,P(o-Tol)3,Pd(OAc)2,K3PO4,MeOH,68.86,2812,M0_vbur_vmin,%Vbur(min) + Vmin,68.86,65.91506036527592,16.694727046172506,33.193395354777806,98.63672537577403,74.84,2.981795651061512,2,72.19,73.12,0.9300000000000068
4179,1b_2c,P(Ph)3,Pd(OAc)2,NaHCO3,MeOH,40.92,2785,M0_vbur_vmin,%Vbur(min) + Vmin,40.92,60.3131189387127,16.299981464773783,28.365155267756084,92.26108260966932,74.84,1.5723678528727456,3,72.19,73.12,0.9300000000000068
