Reaction_No,substrate_pair,Ligand_Short_Hand,Catalyst_1_Short_Hand,Reagent_1_Short_Hand,Solvent_1_Short_Hand,Product_Yield_PCT_Area_UV,row_index,model,label,y_true,y_pred,y_std,lower_95,upper_95,incumbent_yield,expected_improvement
1298,1d_2a,P(Ph)3,Pd(OAc)2,KOH,THF,65.45,865,M2_all_kraken,All cleaned Kraken descriptors,65.45,102.23770990081317,15.28318374559417,72.2826697594486,132.19275004217775,98.69,7.7417939155136075
2209,1d_2b,P(tBu)3,Pd(OAc)2,NaOH,MeOH,80.02,1472,M2_all_kraken,All cleaned Kraken descriptors,80.02,100.3259494495907,14.210432324261973,72.47350209403723,128.17839680514416,98.42,6.39984114465161
4558,1a_2c,XPhos,Pd(OAc)2,LiOtBu,MeOH,59.08,3039,M2_all_kraken,All cleaned Kraken descriptors,59.08,52.17096987475581,13.373376167986418,25.959152585502434,78.38278716400919,49.99,6.217780963297024
1926,1d_2b,CataCXium A,Pd(OAc)2,NaOH,MeCN,94.39,1285,M2_all_kraken,All cleaned Kraken descriptors,94.39,99.56501651649417,13.38693758727652,73.3266188454322,125.80341418755614,98.42,5.669321737151262
4544,1a_2c,SPhos,Pd(OAc)2,KOH,MeOH,41.19,3030,M2_all_kraken,All cleaned Kraken descriptors,41.19,49.65733460871371,13.939535378406493,22.335845267036984,76.97882395039044,49.99,5.154655783269801
1494,1d_2a,CataCXium A,Pd(OAc)2,KOH,MeOH,95.06,997,M2_all_kraken,All cleaned Kraken descriptors,95.06,97.5273614197014,14.397444505755681,69.30837018842027,125.74635265098254,98.69,4.950686804831233
2022,1d_2b,CataCXium A,Pd(OAc)2,NaOH,THF,92.59,1349,M2_all_kraken,All cleaned Kraken descriptors,92.59,97.60249690377717,13.764173949551553,70.62471596265613,124.5802778448982,98.42,4.857495720587964
1456,1d_2a,P(Cy)3,Pd(OAc)2,NaHCO3,MeOH,92.43,971,M2_all_kraken,All cleaned Kraken descriptors,92.43,96.46843352937839,15.105916878423935,66.86083644766748,126.0760306110893,98.69,4.7631491925702365
690,1b_2a,CataCXium A,Pd(OAc)2,NaHCO3,MeOH,86.98,461,M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,86.98,107.44355541426748,13.046841204300456,81.87174665383858,133.01536417469637,96.89,11.704864259165308
726,1b_2a,CataCXium A,Pd(OAc)2,KOH,MeOH,85.46,485,M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,85.46,99.16990133849308,13.908034310494319,71.91015408992422,126.42964858706193,96.89,6.483828317668737
390,1b_2a,CataCXium A,Pd(OAc)2,NaOH,MeCN,96.38,261,M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,96.38,99.94913815829582,12.035795137907598,76.35897968799694,123.53929662859471,96.89,6.189290281352823
2066,1d_2b,P(Ph)3,Pd(OAc)2,KOH,THF,77.32,1377,M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,77.32,98.77042305841996,15.039535765634168,69.292932957777,128.24791315906293,98.42,5.92541496049569
1072,1c_2a,P(Cy)3,Pd(OAc)2,NaHCO3,MeOH,89.13,715,M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,89.13,99.49699622109713,13.828223485142805,72.39367819021723,126.60031425197704,98.53,5.753306690058896
722,1b_2a,P(Ph)3,Pd(OAc)2,KOH,MeOH,92.61,481,M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,92.61,98.08698810885531,12.920839859024795,72.7621419851667,123.41183423254391,96.89,5.510661188361381
1998,1d_2b,CataCXium A,Pd(OAc)2,Et3N,MeCN,94.32,1333,M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,94.32,99.81747584575537,12.649966144764468,75.02354220201701,124.61140948949372,98.42,5.5080398900013385
1125,1c_2a,XPhos,Pd(OAc)2,LiOtBu,MeOH,82.88,751,M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,82.88,99.27787322845349,13.420037233782214,72.97460025024034,125.58114620666663,98.53,5.478670086792029
1926,1d_2b,CataCXium A,Pd(OAc)2,NaOH,MeCN,94.39,1285,M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,94.39,99.73376495540978,12.066675816269132,76.08308035552228,123.38444955529728,98.42,5.231732378564787
1923,1d_2b,AmPhos,Pd(OAc)2,NaOH,MeCN,94.83,1282,M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,94.83,97.20297995419212,12.600606417140801,72.50579137659615,121.90016853178808,98.42,4.215002721670058
690,1b_2a,CataCXium A,Pd(OAc)2,NaHCO3,MeOH,86.98,461,M4_pc_scores,PC1-PC4 scores,86.98,104.58649857136857,11.633445048119295,81.78494627705474,127.38805086568239,96.89,9.100054871477775
722,1b_2a,P(Ph)3,Pd(OAc)2,KOH,MeOH,92.61,481,M4_pc_scores,PC1-PC4 scores,92.61,99.34349696139692,13.45984282330442,72.96220502772026,125.72478889507359,96.89,6.402904097439276
2077,1d_2b,P(tBu)3,Pd(OAc)2,LiOtBu,THF,93.55,1384,M4_pc_scores,PC1-PC4 scores,93.55,99.55080942816053,13.19877633456796,73.68120781240734,125.42041104391373,98.42,5.586967212818088
2066,1d_2b,P(Ph)3,Pd(OAc)2,KOH,THF,77.32,1377,M4_pc_scores,PC1-PC4 scores,77.32,98.07441400490649,14.718939212644186,69.22529314812388,126.92353486168909,98.42,5.458901409015651
726,1b_2a,CataCXium A,Pd(OAc)2,KOH,MeOH,85.46,485,M4_pc_scores,PC1-PC4 scores,85.46,98.19302712207534,12.385763555684512,73.91693055293369,122.46912369121698,96.89,5.353099950180412
1610,1c_2b,P(Ph)3,Pd(OAc)2,Et3N,MeCN,92.43,1073,M4_pc_scores,PC1-PC4 scores,92.43,97.44300011635914,13.497305479319554,70.98828137689281,123.89771885582547,97.25,5.232538691575573
1298,1d_2a,P(Ph)3,Pd(OAc)2,KOH,THF,65.45,865,M4_pc_scores,PC1-PC4 scores,65.45,97.38417118439617,14.178258071202103,69.59478536484005,125.17355700395228,98.69,4.799208899508296
1998,1d_2b,CataCXium A,Pd(OAc)2,Et3N,MeCN,94.32,1333,M4_pc_scores,PC1-PC4 scores,94.32,98.61465460936546,12.247778064663745,74.60900960262452,122.6202996161064,98.42,4.735002204498812
1202,1d_2a,P(Ph)3,Pd(OAc)2,KOH,MeCN,91.35,801,M4_pc_scores,PC1-PC4 scores,91.35,96.96070825562867,14.442151160762599,68.65409198053398,125.26732453072337,98.69,4.71544362441596
842,1c_2a,P(Ph)3,Pd(OAc)2,Et3N,MeCN,97.45,561,M4_pc_scores,PC1-PC4 scores,97.45,97.56955547387614,13.464207263918498,71.17970923659588,123.95940171115639,98.53,4.67278705622725
390,1b_2a,CataCXium A,Pd(OAc)2,NaOH,MeCN,96.38,261,M5_ligand_onehot,Ligand identity one-hot baseline,96.38,104.84650082203633,11.441371912315738,82.42141187389748,127.27158977017518,96.89,9.229123394344093
726,1b_2a,CataCXium A,Pd(OAc)2,KOH,MeOH,85.46,485,M5_ligand_onehot,Ligand identity one-hot baseline,85.46,102.16161319258427,13.8727153600674,74.97109108685217,129.35213529831637,96.89,8.244407186351017
690,1b_2a,CataCXium A,Pd(OAc)2,NaHCO3,MeOH,86.98,461,M5_ligand_onehot,Ligand identity one-hot baseline,86.98,101.60598494516275,12.957007235985586,76.210250762631,127.00171912769449,96.89,7.548337714821182
486,1b_2a,CataCXium A,Pd(OAc)2,NaOH,THF,96.57,325,M5_ligand_onehot,Ligand identity one-hot baseline,96.57,100.44272950779241,12.836863168084838,75.28247769834613,125.60298131723869,96.89,6.791663353570337
2077,1d_2b,P(tBu)3,Pd(OAc)2,LiOtBu,THF,93.55,1384,M5_ligand_onehot,Ligand identity one-hot baseline,93.55,102.75578411923138,11.575047201793987,80.06869160371517,125.44287663474759,98.42,6.7869238694720435
1610,1c_2b,P(Ph)3,Pd(OAc)2,Et3N,MeCN,92.43,1073,M5_ligand_onehot,Ligand identity one-hot baseline,92.43,100.32515923040874,12.554008374212403,75.71930281695244,124.93101564386505,97.25,6.400903727821041
1998,1d_2b,CataCXium A,Pd(OAc)2,Et3N,MeCN,94.32,1333,M5_ligand_onehot,Ligand identity one-hot baseline,94.32,100.7027665140369,12.629499698403697,75.94894710516564,125.45658592290815,98.42,5.979939069512198
722,1b_2a,P(Ph)3,Pd(OAc)2,KOH,MeOH,92.61,481,M5_ligand_onehot,Ligand identity one-hot baseline,92.61,98.01574492577564,12.721576737107325,73.08145452104527,122.950035330506,96.89,5.394185570424018
542,1b_2a,P(Ph)3,Pd(OAc)2,LiOtBu,THF,87.78,361,M5_ligand_onehot,Ligand identity one-hot baseline,87.78,97.7996948311772,12.871544096130773,72.5714684027609,123.02792125959351,96.89,5.342451529909333
1926,1d_2b,CataCXium A,Pd(OAc)2,NaOH,MeCN,94.39,1285,M5_ligand_onehot,Ligand identity one-hot baseline,94.39,100.00047081822709,11.860654572212766,76.75358785669006,123.24735377976411,98.42,5.291571914368186
